"Ace Hill Vienna Lager","Ace Hill Beer Company","Amber Lager","Beer",3.25,473,5.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/beer-cider-16/lager-16023/amber-lager-16023299/ace-hill-vienna-lager-519694"
"Fenelon Falls Brewing Co. Vienna Lager","Fenelon Falls Brewing Co.","Amber Lager","Beer",3.5,473,5.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/beer-cider-16/lager-16023/amber-lager-16023299/fenelon-falls-brewing-co-vienna-lager-576587"
"Woodhouse Lager","Woodhouse Brewing Co","Amber Lager","Beer",3.15,473,5.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/amber-lager-16023299/woodhouse-lager-459537"
"Mill Street 100th Meridian Organic Amber Lager","Trillium Beverage Inc.","Amber Lager","Beer",3.4,473,5.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/amber-lager-16023299/mill-street-100th-meridian-organic-amber-lager-413765"
"Daura Damm","Grupo Damm","Amber Lager","Beer",15.55,1980,5.4,"Spain","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/amber-lager-16023299/daura-damm-378711"
