"Strewn Vidal Icewine 2013","Strewn Inc.","Icewine","White",24.95,200,11.3,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/strewn-vidal-icewine-2013-467746"
"Lakeview Cellars Riesling Icewine 2019","Diamond Estates Wines &amp; Spirits Ltd","Icewine","White",34.95,200,11.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/lakeview-cellars-riesling-icewine-2019-471839"
"Eroica Riesling Icewine 2013","Chateau Ste. Michelle &amp; Dr. Loosen","Icewine","White",83.0,375,8.0,"Washington; USA","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/eroica-riesling-icewine-2013-499475"
"Lakeview Cellars Gewürztraminer Icewine 2017","Diamond Estates Wines &amp; Spirits Ltd","Icewine","White",34.95,200,11.2,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/lakeview-cellars-gew%C3%BCrztraminer-icewine-2017-547703"
"Southbrook Organic Vidal Icewine 2014","Southbrook Vineyards","Icewine","White",37.25,375,11.5,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/southbrook-organic-vidal-icewine-2014-581165"
"Lundy Manor Vidal Icewine 2016","Lundy Manor Wine Cellar","Icewine","White",45.95,375,12.4,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/lundy-manor-vidal-icewine-2016-646554"
"Palatine Hills Vidal Icewine 2012","Palatine Hills Estate","Icewine","White",19.95,200,10.5,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/palatine-hills-vidal-icewine-2012-614842"
"Andrew Peller Signature Series Riesling Icewine 2016","Andrew Peller Limited","Icewine","White",39.75,200,10.5,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/andrew-peller-signature-series-riesling-icewine-2016-652149"
"Pillitteri Vidal Icewine 2004","Pillitteri Estates","Icewine","White",24.75,375,10.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/pillitteri-vidal-icewine-2004-370007"
"Andrew Peller Signature Series Vidal Icewine 2017","Andrew Peller Limited","Icewine","White",36.75,200,11.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/andrew-peller-signature-series-vidal-icewine-2017-100164"
"Wayne Gretzky No. 99 Vidal Icewine 2017","No. 99 Wayne Gretzky Estates","Icewine","White",58.75,375,11.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/wayne-gretzky-no-99-vidal-icewine-2017-578807"
"Valegro Vidal Icewine VQA","Dark Horse Estate Winery","Icewine","White",19.95,375,10.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-14007007-1/valegro-vidal-icewine-vqa-23864"
"Lakeview Cellars Cabernet Franc Icewine 2017","Diamond Estates Wines &amp; Spirits Ltd","Icewine","Red",29.95,200,11.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/lakeview-cellars-cabernet-franc-icewine-2017-53397"
"Stratus Red Icewine 2018","Stratus Vineyards","Icewine","Red",44.95,200,12.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/stratus-red-icewine-2018-56689"
"Peninsula Ridge Cabernet Franc Icewine 2011","Peninsula Ridge Estates Winery","Icewine","Red",29.95,200,13.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/peninsula-ridge-cabernet-franc-icewine-2011-148056"
"Inniskillin Cabernet Franc Icewine 2014","Arterra Wines Canada; Inc.","Icewine","Red",41.25,200,9.5,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/inniskillin-cabernet-franc-icewine-2014-149963"
"Château des Charmes Cabernet Icewine 2016","Chateau Des Charmes","Icewine","Red",79.95,375,9.5,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/ch%C3%A2teau-des-charmes-cabernet-icewine-2016-346692"
"Pillitteri Cabernet Sauvignon Reserve Icewine 2012","Pillitteri Estates","Icewine","Red",39.95,200,10.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/pillitteri-cabernet-sauvignon-reserve-icewine-2012-465203"
"Lakeview Cellars Cabernet Sauvignon Icewine 2017","Diamond Estates Wines &amp; Spirits Ltd","Icewine","Red",39.95,200,12.4,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/lakeview-cellars-cabernet-sauvignon-icewine-2017-471813"
"Pondview Cabernet Franc Icewine 2014","Pondview Estate Winery Ltd.","Icewine","Red",44.95,200,11.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/pondview-cabernet-franc-icewine-2014-558452"
"Henry of Pelham Red Icewine 2018","Henry Of Pelham Family Est. Winery","Icewine","Red",39.95,200,10.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-14007008/henry-of-pelham-red-icewine-2018-672402"
"Inniskillin Sparkling Vidal Icewine 2018","Arterra Wines Canada; Inc.","Icewine","Sparkling",79.95,375,9.0,"Ontario; Canada","https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-14007009/inniskillin-sparkling-vidal-icewine-2018-560367"
